Bahana Kehati Lestari (BAHLEST),BAHLEST:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/BAHLEST:IJ
Bahana Makara Abadi (BTCWUT2),BTCWUT2:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/BTCWUT2:IJ
Bahana Quant Strategy (BAHQUST),BAHQUST:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/BAHQUST:IJ
Bahana TCW Dana Infrastruktur (BTCWDFI),BTCWDFI:IJ,Open-End Fund,Aggressive Allocation,http://www.bloomberg.com/quote/BTCWDFI:IJ
Bahana TCW Dana Likuid (BTCWLKD),BTCWLKD:IJ,Open-End Fund,General (Non-US),http://www.bloomberg.com/quote/BTCWLKD:IJ
Bahana TCW Dana Prima (BCTWPRI),BCTWPRI:IJ,Open-End Fund,Growth Broad Market,http://www.bloomberg.com/quote/BCTWPRI:IJ
Bahana TCW Dana Selaras (BTCWDSI),BTCWDSI:IJ,Open-End Fund,Moderate Allocation,http://www.bloomberg.com/quote/BTCWDSI:IJ
Bahana TCW Ganesha Abadi (BTCWGAN),BTCWGAN:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/BTCWGAN:IJ
Bahana TCW Kombinasi Arjuna (BTCWKOA),BTCWKOA:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/BTCWKOA:IJ
Bahana TCW Optima Pendapatan Abadi (BTCWOPA),BTCWOPA:IJ,Open-End Fund,Aggregate Bond Long,http://www.bloomberg.com/quote/BTCWOPA:IJ
Bahana TCW Pendapatan Tetap Abadi 2 (BTCWTA2),BTCWTA2:IJ,Open-End Fund,Government Long,http://www.bloomberg.com/quote/BTCWTA2:IJ
Bahana TCW Pendapatan Tetap Utama (BTCWTAM),BTCWTAM:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/BTCWTAM:IJ
Bahana Trailblazer Fund (TRAILBZ),TRAILBZ:IJ,Open-End Fund,Growth Broad Market,http://www.bloomberg.com/quote/TRAILBZ:IJ
Batavia - Si Danaobligasi Maxima (BAOBMAX),BAOBMAX:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/BAOBMAX:IJ
Batavia Dana Dinamis (BIRADINA),BIRADINA:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/BIRADINA:IJ
Batavia Dana Kas Maxima (BAKAMAX),BAKAMAX:IJ,Open-End Fund,General (Non-US),http://www.bloomberg.com/quote/BAKAMAX:IJ
Batavia Dana Obligasi Ultima (BAOBULT),BAOBULT:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/BAOBULT:IJ
Batavia Dana Obligasi Plus (BDOPLUS),BDOPLUS:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/BDOPLUS:IJ
Batavia Dana Obligasi Andalan (BDOABAM),BDOABAM:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/BDOABAM:IJ
Batavia Dana Obligasi Sentosa (BDOSBAM),BDOSBAM:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/BDOSBAM:IJ
Batavia Dana Saham (BIRADSI),BIRADSI:IJ,Open-End Fund,Growth Broad Market,http://www.bloomberg.com/quote/BIRADSI:IJ
Batavia Dana Saham Agro (BATAGRO),BATAGRO:IJ,Open-End Fund,Blend Broad Market,http://www.bloomberg.com/quote/BATAGRO:IJ
Batavia Dana Saham Optimal (BADOPTI),BADOPTI:IJ,Open-End Fund,Blend Broad Market,http://www.bloomberg.com/quote/BADOPTI:IJ
Batavia Dana Saham Syariah (BSDSSYH),BSDSSYH:IJ,Open-End Fund,Thematic Sector,http://www.bloomberg.com/quote/BSDSSYH:IJ
Batavia Prima Campuran (BATMACA),BATMACA:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/BATMACA:IJ
Batavia Prima Ekspektasi (BATMASI),BATMASI:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/BATMASI:IJ
Batavia Proteksi Prima 20 (BATPP20),BATPP20:IJ,Closed-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/BATPP20:IJ
